"","i","comparison","meanDifference","sdDifference","OLmeanDifference","OLsdDifference"
"1","Single","Single","Single","Single","Single","Single"
"2","20","3v2","2.51076531549318","3.33321589009041","2.51076531549318","3.33321589009041"
"3","20","4v3","32.5681259008469","33.6481769254335","32.5681259008469","33.6481769254335"
"4","20","5v4","155.04166732071","196.698440460771","355.988420811983","661.957199717376"
"5","20","6v5","320.134454860017","385.575564032705","320.134454860017","385.575564032705"
"6","10","3v2","23.1222666491303","13.8358530465858","23.1222666491303","13.8358530465858"
"7","10","4v3","284.402529646781","144.244329216328","376.986473209904","395.686640034159"
"8","10","5v4","1501.99723277913","762.154001501557","4703.11645696998","6873.46535749127"
"9","10","6v5","1715.98664304643","2268.19755008623","1715.98664304643","2268.19755008623"
"10","5","3v2","48.5790170600959","27.119240772385","48.5790170600959","27.119240772385"
"11","5","4v3","1195.11643125817","835.525389596754","1195.11643125817","835.525389596754"
"12","5","5v4","NaN",NA,"NaN",NA
"13","5","6v5","NaN",NA,"NaN",NA
"14","0","3v2","51.1426633979446","30.8598971011816","51.1426633979446","30.8598971011816"
"15","0","4v3","1591.49485975292","1627.51659038523","1591.49485975292","1627.51659038523"
"16","0","5v4","NaN",NA,"NaN",NA
"17","0","6v5","NaN",NA,"NaN",NA
"18","Double","Double","Double","Double","Double","Double"
"19","20","4v2","32.8065174445705",NA,"32.8065174445705",NA
"20","20","5v3","163.936311488981","88.8749207767953","163.936311488981","88.8749207767953"
"21","20","6v4","1028.20002422126",NA,"1028.20002422126",NA
"22","10","4v2","481.8240842846",NA,"481.8240842846",NA
"23","10","5v3","5014.96752748605","3484.62503862664","5014.96752748605","3484.62503862664"
"24","10","6v4","32220.1409614789",NA,"32220.1409614789",NA
"25","5","4v2","1947.82720686045",NA,"1947.82720686045",NA
"26","5","5v3","NaN",NA,"NaN",NA
"27","5","6v4","NaN",NA,"NaN",NA
"28","0","4v2","1173.70253292838",NA,"1173.70253292838",NA
"29","0","5v3","NaN",NA,"NaN",NA
"30","0","6v4","NaN",NA,"NaN",NA
