"","outMessage","fullTime","fullDeviation","noPvalTime","noPvalDeviation","pvalTime","pvalDeviation","correlationTime","correlationDeviation","pathTime","pathDeviation","simulationTime","simulationDeviation"
"Fudged0-","
-------- 
 Run type: Fudged0- | Totaled Type: FALSE 
 Time per permulation: 7.2698317 ± 0.160559262785747 
 Based on: simulation time 0.0894550999999993 ± 0.0863964796827634 ; Path time: 0.0747979500000059 ± 0.00194576851095795 ; 
 Correlation time: 6.87515395 ± 0.125271001794487 ; pValue time: 0.2304247 ± 0.00539565803833651",7.2698317,0.160559262785747,7.039407,0.15516360474741,0.2304247,0.00539565803833651,6.87515395,0.125271001794487,0.0747979500000059,0.00194576851095795,0.0894550999999993,0.0863964796827634
"Fudged0.05-","
-------- 
 Run type: Fudged0.05- | Totaled Type: FALSE 
 Time per permulation: 7.27078175000001 ± 0.161644774162707 
 Based on: simulation time 0.0893221500000014 ± 0.0867040328307155 ; Path time: 0.0748488750000085 ± 0.00197872032326865 ; 
 Correlation time: 6.878092975 ± 0.126467551497175 ; pValue time: 0.22851775 ± 0.00498431962343719",7.27078175000001,0.161644774162707,7.04226400000001,0.156660454539269,0.22851775,0.00498431962343719,6.878092975,0.126467551497175,0.0748488750000085,0.00197872032326865,0.0893221500000014,0.0867040328307155
"Fudged0.1-","
-------- 
 Run type: Fudged0.1- | Totaled Type: FALSE 
 Time per permulation: 7.25097730000001 ± 0.156887959869681 
 Based on: simulation time 0.069116583333333 ± 0.0775001709434749 ; Path time: 0.074716200000005 ± 0.00198164653980381 ; 
 Correlation time: 6.87784421666667 ± 0.126893532332017 ; pValue time: 0.229300299999999 ± 0.00525086370096032",7.25097730000001,0.156887959869681,7.02167700000001,0.151637096168721,0.229300299999999,0.00525086370096032,6.87784421666667,0.126893532332017,0.074716200000005,0.00198164653980381,0.069116583333333,0.0775001709434749
"Fudged0.2-","
-------- 
 Run type: Fudged0.2- | Totaled Type: FALSE 
 Time per permulation: 7.23251493750001 ± 0.153664531613689 
 Based on: simulation time 0.0547025124999988 ± 0.0716577312581686 ; Path time: 0.074574300000003 ± 0.00196788031061571 ; 
 Correlation time: 6.87569112500001 ± 0.126631747070894 ; pValue time: 0.227547 ± 0.00487357433180981",7.23251493750001,0.153664531613689,7.00496793750001,0.148790957281879,0.227547,0.00487357433180981,6.87569112500001,0.126631747070894,0.074574300000003,0.00196788031061571,0.0547025124999988,0.0716577312581686
"Categorical0-","
-------- 
 Run type: Categorical0- | Totaled Type: TRUE 
 Time per permulation: 7.8679466 ± 0.10920716151749 
 Based on: simulation time 0.72639045 ± 0.0184769740828985 ; Path time: 1.00000000000477e-07 ± 7.03526470684808e-07 ; 
 Correlation time: 7.14155605 ± 0.0931342894120657 ; pValue time: NaN ± NA",7.8679466,0.10920716151749,7.8679466,0.10920716151749,NA,NA,7.14155605,0.0931342894120657,1.00000000000477e-07,7.03526470684808e-07,0.72639045,0.0184769740828985
"Categorical0.05-","
-------- 
 Run type: Categorical0.05- | Totaled Type: TRUE 
 Time per permulation: 7.848254475 ± 0.128508491707959 
 Based on: simulation time 0.71942315 ± 0.0181914395373126 ; Path time: 5.00000000002387e-08 ± 4.9874213637444e-07 ; 
 Correlation time: 7.128831275 ± 0.115081816303524 ; pValue time: NaN ± NA",7.848254475,0.128508491707959,7.848254475,0.128508491707959,NA,NA,7.128831275,0.115081816303524,5.00000000002387e-08,4.9874213637444e-07,0.71942315,0.0181914395373126
"Categorical0.1-","
-------- 
 Run type: Categorical0.1- | Totaled Type: TRUE 
 Time per permulation: 7.83135908333333 ± 0.146646219194096 
 Based on: simulation time 0.717468616666667 ± 0.0180937839019192 ; Path time: 3.33333333334925e-08 ± 4.07565029249764e-07 ; 
 Correlation time: 7.11389043333333 ± 0.132201311663933 ; pValue time: NaN ± NA",7.83135908333333,0.146646219194096,7.83135908333333,0.146646219194096,NA,NA,7.11389043333333,0.132201311663933,3.33333333334925e-08,4.07565029249764e-07,0.717468616666667,0.0180937839019192
"Categorical0.2-","
-------- 
 Run type: Categorical0.2- | Totaled Type: TRUE 
 Time per permulation: 7.8122569125 ± 0.160045637169832 
 Based on: simulation time 0.7145828875 ± 0.0189819871738317 ; Path time: 3.7500000002666e-08 ± 4.31926093680928e-07 ; 
 Correlation time: 7.0976739875 ± 0.144008135441529 ; pValue time: NaN ± NA",7.8122569125,0.160045637169832,7.8122569125,0.160045637169832,NA,NA,7.0976739875,0.144008135441529,3.7500000002666e-08,4.31926093680928e-07,0.7145828875,0.0189819871738317
"EmilyMidpoint","
-------- 
 Run type: EmilyMidpoint | Totaled Type: FALSE 
 Time per permulation: 6.99806755 ± 1.03913540244085 
 Based on: simulation time 0.114815899999999 ± 0.0999874701245078 ; Path time: 0.073612050000002 ± 0.0117165911733284 ; 
 Correlation time: 6.8813179395182 ± 0.12193903408794 ; pValue time: 0.0969139500000001 ± 0.00196254978641067",6.99806755,1.03913540244085,6.9011536,1.03717285265444,0.0969139500000001,0.00196254978641067,6.8813179395182,0.12193903408794,0.073612050000002,0.0117165911733284,0.114815899999999,0.0999874701245078
"EmilyNoMidpoint","
-------- 
 Run type: EmilyNoMidpoint | Totaled Type: FALSE 
 Time per permulation: 6.97411880000002 ± 1.05276952814882 
 Based on: simulation time 0.109319200000002 ± 0.0993972821677978 ; Path time: 0.0732637000000068 ± 0.0118996236227091 ; 
 Correlation time: 6.86858999743525 ± 0.123084482678949 ; pValue time: 0.0963777999999998 ± 0.00186476530870944",6.97411880000002,1.05276952814882,6.87774100000002,1.05090476284011,0.0963777999999998,0.00186476530870944,6.86858999743525,0.123084482678949,0.0732637000000068,0.0118996236227091,0.109319200000002,0.0993972821677978
